,efa8_institutional_alienation,efa8_political_action,efa8_outgroup_hostility,efa8_social_outgroup_distrust,efa8_moral_political_authoritarianism,efa8_political_interest,efa8_coercive_institutional_trust,efa8_symbolic_nationalism
national_pride,-0.05256161602152315,0.013533661241901996,-0.001241339181868124,-0.034035169492608604,-0.028361560563888305,-0.060981799163538034,-0.006099053877546188,0.5225556119986158
willing_to_fight,0.08411705609233816,0.012539927345786546,0.09123281677223953,0.013134674232955657,0.10375847093684318,0.1088560909950186,0.08202398354249962,0.3566068785088114
reject_different_race,0.005756385916167111,0.746292889283575,-0.03102411197030054,-0.010845613726439263,0.008525900225564832,-0.005588730332745848,-0.014297647227499663,-0.006178678980613434
reject_immigrants,0.020898840732799503,0.6568421676396978,0.025226353847729227,-0.00029174202637969346,0.0036499076856289273,-0.015720543290224605,0.023303392148779183,0.004564734649330594
reject_homosexuals,0.02267837048555529,0.361591156350068,0.059048077304027044,-0.03801693101202168,0.030831319421893887,0.1027456272524217,-0.04391798062503946,0.0794411166644134
reject_other_religion,-0.01594760159787644,0.6818086826903849,0.006318304541858908,0.015431450720515367,-0.02048865684259992,0.009234852737567481,-0.02230812555698583,0.0026539668931310576
reject_different_language,-0.006587920778362263,0.6377021319736638,0.011018275717864979,0.006833154313920175,-0.0030488776031109316,-0.00333795715697636,0.028268121713339592,-0.01256597863167414
immigration_restriction,0.040086880981516144,0.06141561089745655,0.2059653636036892,-0.04218971429090221,-0.04000658413693644,0.01705825265703856,0.10116989404924662,0.07233482311204896
respect_authority,0.030885099888293088,-0.01229527993094371,0.08590316718462476,-0.10483314411567526,-0.04167770174725302,0.07231915123183437,0.1617507577310699,0.3236161583144905
strong_leader,0.030382792407767326,0.00811452693373369,0.026272406074349972,-0.030563395261677402,-0.029009056935138024,0.47479708451978764,-0.07074628351206595,0.1416375215119872
army_rule,-0.004710290425246224,-0.006398701743833532,0.024649142195224356,-0.0005066689318894619,0.002499368579282839,0.64747855057438,0.10490744158854565,-0.10920618396284101
religious_law_no_parties,-0.045429713211513394,0.021249690139136745,-0.010475426334292305,-0.0028987306817125297,-0.04223610294461988,0.6247304101044225,-0.07096204542269383,0.03914079512448211
army_as_democracy,0.0300618018769556,0.028691151008145545,0.05290542207952804,-0.012051705937243508,-0.03502590015329089,0.3776398946415429,0.05499794246896411,0.00489739970665074
politics_important,-0.09463077001594537,0.015128857672600882,-0.0029916198752297234,0.01837609766227641,0.5647033153596585,0.03243822803622443,-0.01310146863409059,0.0041116493517128734
interest_politics,-0.0007903940433331174,-0.011450872520657952,0.004871714555397437,-0.0069993883859111395,0.8768400538279082,-0.015781805440041652,0.002040974673429868,0.008750869225522557
discuss_politics,0.08828769624973236,0.027204154219342882,-0.03896128892857416,0.07466321462561289,0.5021865584620185,-0.03349277379356988,0.027311281721522113,-0.030745424528358333
petition,0.037864900867797535,-0.013398256473840875,-0.04469126029435317,0.603649035835649,0.0185663726347748,-0.08538564296619879,0.15629526883715844,-0.09184156951662278
boycott,0.021427297323242993,0.02786376641828058,-0.04042059466558616,0.5997835706800672,0.03580104375153938,-0.023642202846714474,0.04255210472148856,-0.13187200327306609
demonstration,0.02348115915464193,-0.021777433383981307,0.009376480627327774,0.6846916821113846,0.012023894507893618,0.047025524698291195,-0.06337083389428957,0.0472616225995694
contact_official,-0.04938378971837369,0.003553500265482699,-0.01678628178057282,0.5222417128064338,0.08181229419768332,-0.027559222073034167,0.03470508719385933,0.07329497979137402
encourage_action,-0.13090766050579306,0.0028033341026405625,-0.004594612225190729,0.5151285330174586,-3.575230408613785e-05,0.023479624656616065,-0.1378883765567037,0.11959311418376824
low_interpersonal_trust,0.12198968168293688,-0.027363825191780135,0.3452719587123556,-0.07672770649773848,-0.037691944321461744,0.09675712373860249,-0.0009536238021028263,0.07078331662393718
distrust_first_time,0.10194376662422257,-0.0329653803382201,0.6267138604142082,-0.00036724012132254,-0.027789370037000688,-0.00858027469917117,0.01398978934989915,0.07445503821674827
distrust_other_religion,-0.04367505466846605,0.00586658337454036,0.783457260358982,0.017393108849464493,0.003470827174582638,-0.020964736965500646,-0.039264433286765946,-0.05769262427896375
distrust_other_nationality,-0.008668410934569009,0.01829299203680257,0.8313530369779077,-0.02219616925758358,0.0032032484185266397,0.022538742018457035,0.010205895682794916,0.009114843906123013
low_human_rights_respect,0.262695736593028,0.0015297774901370214,0.0693087075722698,-0.08508893970016804,-0.04866528575909638,0.1069887150674285,-0.09875403715810643,-0.15073654203403375
no_say_government,0.2264329453571324,-0.020285576801083685,0.059298962900031685,-0.04141886705357986,-0.07368542117581267,-0.03139458655157945,0.024008415998984088,-0.17966384950141667
distrust_parliament,0.8536381366655804,0.013584912878214613,0.019864663672265186,-0.024966418634099565,0.010210933296951248,0.014964469784084257,0.00585499380766565,0.015633514088734816
distrust_government,0.6809341284819,-0.0062640185317262825,-0.027299174472620952,0.005540046479814375,0.026648732145507028,0.03387219714659847,-0.16187381489858388,-0.11267067753025292
distrust_parties,0.7550307858532439,-0.004331844438870229,0.030673434852545957,0.02179867402603591,-0.0868281009899098,-0.06638056246633504,0.020648360658082583,0.05628137472652259
trust_churches,0.03992472828473017,0.04020179651953182,-0.12187240407768823,-0.1212304636101304,0.013201861207227411,0.22183489009342222,0.18951341609727185,0.2264782300293277
trust_armed_forces,0.0006111266942654958,-0.014134867146036956,-0.03630631461232652,0.02257962871800362,0.03716106173988208,0.04329259329975667,0.719244433985309,0.02970690420926147
trust_police,-0.2142404346647974,0.0010612386877020263,-0.04762139349441398,0.012583188062516515,-0.010073943636192753,-0.04518227632623879,0.5824378052968148,-0.015745349782420585
