Fator,Autovalor observado,Autovalor aleatório médio,Reter
1,5.545663379992944,1.070543117947954,True
2,2.9980883634660542,1.0622769457999743,True
3,2.5058479689661324,1.056153426472167,True
4,1.6674588001568775,1.0507570787066014,True
5,1.4483152274670654,1.0461157784964918,True
6,1.232522933865631,1.0415470475524593,True
7,1.1222119211873884,1.0372280780849954,True
8,1.102514862928921,1.0331093173248604,True
9,0.9347623602497234,1.02919688096413,False
10,0.9242940840580365,1.0253173000735778,False
11,0.8571122173875568,1.0214753479522363,False
12,0.8518540007277456,1.0176450917777646,False
13,0.825033833372326,1.0140230360682259,False
14,0.7734959793668488,1.0103583384011836,False
15,0.7573598822948269,1.0067755451899014,False
16,0.7287267782714157,1.0030429494936386,False
17,0.702403933218321,0.9995651221788493,False
18,0.6730946989037614,0.995967841044655,False
19,0.6521334505274696,0.9924604912744444,False
20,0.6415183565646437,0.9888160257246049,False
21,0.604899128853116,0.9852134965480203,False
22,0.5765099617085083,0.9816459706998865,False
23,0.5523238059798222,0.9782165803039733,False
24,0.5321767240499058,0.9744202090599072,False
25,0.5168066641036659,0.9704723432044847,False
26,0.48989392554416566,0.96649747536535,False
27,0.473809163722506,0.9625330308598822,False
28,0.45716138016460367,0.9584364039083051,False
29,0.44620091029911624,0.954209806262268,False
30,0.41038079258347276,0.9498123266419076,False
31,0.3935037238326101,0.9447772272779072,False
32,0.30978421631336317,0.9390825191609206,False
33,0.29350859714568783,0.9318323167806711,False
